position_id,issuer,issuer_country,asset_class,rating,accounting_classification,maturity_bucket,scenario_name,scenario_description,rate_shock_bps,credit_spread_shock_bps,total_yield_shock_bps,base_market_value_m,stressed_market_value_m,economic_value_impact_m,market_value_impact_pct,estimated_oci_impact_m,estimated_immediate_pnl_impact_m,accounting_impact_note
TRSY_001,BE Industrial A,Belgium,Corporate Bond,AA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,647.628,641.75,-5.878,-0.9076,-5.878,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_001,BE Industrial A,Belgium,Corporate Bond,AA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,647.628,635.942,-11.686,-1.8044,-11.686,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_001,BE Industrial A,Belgium,Corporate Bond,AA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,647.628,659.594,11.966,1.8476,11.966,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_001,BE Industrial A,Belgium,Corporate Bond,AA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,647.628,630.204,-17.424,-2.6904,-17.424,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_001,BE Industrial A,Belgium,Corporate Bond,AA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,647.628,618.939,-28.689,-4.4299,-28.689,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_002,NL Utility A,Netherlands,Corporate Bond,AA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,1174.022,1165.775,-8.247,-0.7024,-8.247,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_002,NL Utility A,Netherlands,Corporate Bond,AA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,1174.022,1157.608,-16.414,-1.3981,-16.414,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_002,NL Utility A,Netherlands,Corporate Bond,AA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,1174.022,1190.753,16.731,1.4251,16.731,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_002,NL Utility A,Netherlands,Corporate Bond,AA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,75,75,1174.022,1149.521,-24.501,-2.087,-24.501,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_002,NL Utility A,Netherlands,Corporate Bond,AA,FVOCI,2-5Y,Rates +50bps & spreads +75bps,Combined higher-rate and credit-spread stress.,50,75,125,1174.022,1133.584,-40.438,-3.4444,-40.438,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_003,Federal Republic of Germany,Germany,Sovereign,AAA,FVOCI,2-5Y,Rates +25bps,Parallel EUR yield-curve increase of 25 bps.,25,0,25,1131.594,1123.561,-8.033,-0.7099,-8.033,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_003,Federal Republic of Germany,Germany,Sovereign,AAA,FVOCI,2-5Y,Rates +50bps,Parallel EUR yield-curve increase of 50 bps.,50,0,50,1131.594,1115.606,-15.988,-1.4129,-15.988,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_003,Federal Republic of Germany,Germany,Sovereign,AAA,FVOCI,2-5Y,Rates -50bps,Parallel EUR yield-curve decrease of 50 bps.,-50,0,-50,1131.594,1147.895,16.301,1.4405,16.301,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
TRSY_003,Federal Republic of Germany,Germany,Sovereign,AAA,FVOCI,2-5Y,Credit spreads +75bps,Credit spread widening of 75 bps on non-sovereign holdings.,0,0,0,1131.594,1131.594,0.0,0.0,0.0,0.0,Prototype assumption: market-value movement is reflected in OCI; no immediate P&L impact is modelled.
