news_id,published_date,country,country_code,bank_exposure_share_pct,geographic_relevance_weight,geo_impact_score,map_impact_level,impact_direction,signed_geo_score,exposure_reason
NEWS_001,2026-01-14,Netherlands,NL,45.4,1.0,58.3,MEDIUM,Negative,-58.3,Direct or broad geographic relevance
NEWS_001,2026-01-14,Germany,DE,22.45,1.0,49.4,MEDIUM,Negative,-49.4,Direct or broad geographic relevance
NEWS_001,2026-01-14,France,FR,18.53,1.0,47.9,MEDIUM,Negative,-47.9,Direct or broad geographic relevance
NEWS_001,2026-01-14,Belgium,BE,13.62,1.0,46.0,MEDIUM,Negative,-46.0,Direct or broad geographic relevance
NEWS_002,2026-01-22,Netherlands,NL,45.4,1.0,67.2,HIGH,Negative,-67.2,Direct or broad geographic relevance
NEWS_002,2026-01-22,Germany,DE,22.45,1.0,57.0,MEDIUM,Negative,-57.0,Direct or broad geographic relevance
NEWS_002,2026-01-22,France,FR,18.53,1.0,55.3,MEDIUM,Negative,-55.3,Direct or broad geographic relevance
NEWS_002,2026-01-22,Belgium,BE,13.62,1.0,53.1,MEDIUM,Negative,-53.1,Direct or broad geographic relevance
NEWS_003,2026-02-04,Netherlands,NL,45.4,1.0,80.4,HIGH,Negative,-80.4,Direct or broad geographic relevance
NEWS_003,2026-02-04,Germany,DE,22.45,1.0,68.2,HIGH,Negative,-68.2,Direct or broad geographic relevance
NEWS_003,2026-02-04,France,FR,18.53,1.0,66.1,HIGH,Negative,-66.1,Direct or broad geographic relevance
NEWS_003,2026-02-04,Belgium,BE,13.62,1.0,63.5,HIGH,Negative,-63.5,Direct or broad geographic relevance
NEWS_004,2026-02-05,Netherlands,NL,45.4,1.0,89.1,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_004,2026-02-05,Germany,DE,22.45,1.0,75.6,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_004,2026-02-05,France,FR,18.53,1.0,73.3,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_004,2026-02-05,Belgium,BE,13.62,1.0,70.4,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_005,2026-02-05,Netherlands,NL,45.4,1.0,60.1,HIGH,Positive,60.1,Direct or broad geographic relevance
NEWS_005,2026-02-05,Germany,DE,22.45,1.0,51.0,MEDIUM,Positive,51.0,Direct or broad geographic relevance
NEWS_005,2026-02-05,France,FR,18.53,1.0,49.4,MEDIUM,Positive,49.4,Direct or broad geographic relevance
NEWS_005,2026-02-05,Belgium,BE,13.62,1.0,47.4,MEDIUM,Positive,47.4,Direct or broad geographic relevance
NEWS_006,2026-02-18,Netherlands,NL,45.4,1.0,27.4,LOW,Mixed,0.0,Direct or broad geographic relevance
NEWS_006,2026-02-18,Germany,DE,22.45,1.0,23.2,LOW,Mixed,0.0,Direct or broad geographic relevance
NEWS_006,2026-02-18,France,FR,18.53,1.0,22.5,LOW,Mixed,0.0,Direct or broad geographic relevance
NEWS_006,2026-02-18,Belgium,BE,13.62,1.0,21.6,LOW,Mixed,0.0,Direct or broad geographic relevance
NEWS_007,2026-02-25,Netherlands,NL,45.4,1.0,67.3,HIGH,Negative,-67.3,Direct or broad geographic relevance
NEWS_007,2026-02-25,Germany,DE,22.45,1.0,57.1,MEDIUM,Negative,-57.1,Direct or broad geographic relevance
NEWS_007,2026-02-25,France,FR,18.53,1.0,55.4,MEDIUM,Negative,-55.4,Direct or broad geographic relevance
NEWS_007,2026-02-25,Belgium,BE,13.62,1.0,53.2,MEDIUM,Negative,-53.2,Direct or broad geographic relevance
NEWS_008,2026-03-03,Netherlands,NL,45.4,1.0,59.8,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_008,2026-03-03,Germany,DE,22.45,1.0,50.7,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_008,2026-03-03,France,FR,18.53,1.0,49.2,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_008,2026-03-03,Belgium,BE,13.62,1.0,47.2,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_009,2026-03-18,Netherlands,NL,45.4,1.0,47.5,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_009,2026-03-18,Germany,DE,22.45,1.0,40.3,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_009,2026-03-18,France,FR,18.53,1.0,39.1,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_009,2026-03-18,Belgium,BE,13.62,1.0,37.5,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_010,2026-03-19,Netherlands,NL,45.4,1.0,93.1,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_010,2026-03-19,Germany,DE,22.45,1.0,78.9,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_010,2026-03-19,France,FR,18.53,1.0,76.5,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_010,2026-03-19,Belgium,BE,13.62,1.0,73.5,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_011,2026-03-31,Netherlands,NL,45.4,1.0,84.3,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_011,2026-03-31,Germany,DE,22.45,1.0,71.5,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_011,2026-03-31,France,FR,18.53,1.0,69.3,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_011,2026-03-31,Belgium,BE,13.62,1.0,66.6,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_012,2026-04-16,Netherlands,NL,45.4,1.0,69.3,HIGH,Mixed,0.0,Direct or broad geographic relevance
NEWS_012,2026-04-16,Germany,DE,22.45,1.0,58.8,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_012,2026-04-16,France,FR,18.53,1.0,57.0,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_012,2026-04-16,Belgium,BE,13.62,1.0,54.7,MEDIUM,Mixed,0.0,Direct or broad geographic relevance
NEWS_013,2026-04-29,Netherlands,NL,45.4,0.2,14.0,LOW,Negative,-14.0,Limited cross-border spillover
