date,country,business_line,product,balance_type,loan_balance_m,deposit_balance_m,interest_rate_pct,ecb_rate_pct,daily_interest_income_m,daily_interest_expense_m,daily_nii_m,stage_1_share_pct,stage_2_share_pct,stage_3_share_pct,rwa_m,deposit_change_1d_m,deposit_change_1d_pct,deposit_change_7d_m,deposit_change_7d_pct,deposit_change_30d_m,deposit_change_30d_pct,anomaly_flag,anomaly_type,source_month_end_date
2026-01-01,Netherlands,Retail,Mortgage,Asset,60734.600622,0.000000,3.779696,3.240149,6.289269,0.000000,6.289269,91.338523,6.003713,2.657764,32099.316883,,,,,,,0,,2026-01-31
2026-01-01,Netherlands,Retail,Consumer Loan,Asset,13363.413475,0.000000,5.979696,3.240149,2.189292,0.000000,2.189292,86.412385,10.720916,2.866699,8115.907938,,,,,,,0,,2026-01-31
2026-01-01,Netherlands,Corporate,Corporate Loan,Asset,59437.166594,0.000000,4.529696,3.240149,7.376227,0.000000,7.376227,85.964554,11.149753,2.885693,36535.207595,,,,,,,0,,2026-01-31
2026-01-01,Netherlands,Private Banking,Lombard Loan,Asset,14897.685711,0.000000,4.779696,3.240149,1.950860,0.000000,1.950860,90.442862,6.861386,2.695752,8082.698842,,,,,,,0,,2026-01-31
2026-01-01,Germany,Retail,Mortgage,Asset,31201.061494,0.000000,3.829696,3.240149,3.273714,0.000000,3.273714,90.641898,6.670792,2.687310,16570.058517,,,,,,,0,,2026-01-31
2026-01-01,Germany,Retail,Consumer Loan,Asset,6859.552627,0.000000,6.029696,3.240149,1.133179,0.000000,1.133179,85.168411,11.912129,2.919460,4200.748342,,,,,,,0,,2026-01-31
2026-01-01,Germany,Corporate,Corporate Loan,Asset,30498.585698,0.000000,4.579696,3.240149,3.826692,0.000000,3.826692,84.670821,12.388614,2.940565,18909.365957,,,,,,,0,,2026-01-31
2026-01-01,Germany,Private Banking,Lombard Loan,Asset,7630.683308,0.000000,4.829696,3.240149,1.009695,0.000000,1.009695,89.646718,7.623762,2.729519,4162.744963,,,,,,,0,,2026-01-31
2026-01-01,France,Retail,Mortgage,Asset,25842.672603,0.000000,3.859696,3.240149,2.732736,0.000000,2.732736,89.945272,7.337871,2.716857,13790.407598,,,,,,,0,,2026-01-31
2026-01-01,France,Retail,Consumer Loan,Asset,5672.829996,0.000000,6.059696,3.240149,0.941798,0.000000,0.941798,83.924437,13.103342,2.972222,3502.773277,,,,,,,0,,2026-01-31
2026-01-01,France,Corporate,Corporate Loan,Asset,25208.673962,0.000000,4.609696,3.240149,3.183680,0.000000,3.183680,83.377088,13.627475,2.995437,15763.732476,,,,,,,0,,2026-01-31
2026-01-01,France,Private Banking,Lombard Loan,Asset,6293.586186,0.000000,4.859696,3.240149,0.837943,0.000000,0.837943,88.850575,8.386139,2.763287,3452.076287,,,,,,,0,,2026-01-31
2026-01-01,Belgium,Retail,Mortgage,Asset,17663.045110,0.000000,3.819696,3.240149,1.848424,0.000000,1.848424,90.293585,7.004332,2.702084,9402.947346,,,,,,,0,,2026-01-31
2026-01-01,Belgium,Retail,Consumer Loan,Asset,3871.347359,0.000000,6.019696,3.240149,0.638475,0.000000,0.638475,84.546424,12.507735,2.945841,2380.605308,,,,,,,0,,2026-01-31
